timestamp,optimizer,bench,instance,seed,eval_id,score,cfg_json,out_json
2026-04-19T16:41:56.774840,catsplus,lcbench,168329,2,27,114.16963195800781,"{""OpenML_task_id"": ""189866"", ""batch_size"": 17, ""epoch"": 36, ""learning_rate"": 0.002748049733942977, ""max_dropout"": 0.9298087867451065, ""max_units"": 78, ""momentum"": 0.4242119973923697, ""num_layers"": 4, ""weight_decay"": 0.044298954553636666}",{}
2026-04-19T16:41:56.774982,catsplus,lcbench,168329,2,28,48.97255325317383,"{""OpenML_task_id"": ""126026"", ""batch_size"": 22, ""epoch"": 9, ""learning_rate"": 0.0009749384861679553, ""max_dropout"": 0.4037652697694821, ""max_units"": 182, ""momentum"": 0.10548669030459075, ""num_layers"": 5, ""weight_decay"": 0.03332435472962106}",{}
2026-04-19T16:41:56.775128,catsplus,lcbench,168329,2,29,34.78660583496094,"{""OpenML_task_id"": ""167161"", ""batch_size"": 24, ""epoch"": 10, ""learning_rate"": 0.008291766031780444, ""max_dropout"": 0.6042310176027673, ""max_units"": 174, ""momentum"": 0.10270732561780137, ""num_layers"": 2, ""weight_decay"": 0.042978385577855945}",{}
2026-04-19T16:41:56.775301,catsplus,lcbench,168329,2,30,19.967567443847656,"{""OpenML_task_id"": ""126026"", ""batch_size"": 27, ""epoch"": 4, ""learning_rate"": 0.026144721309828478, ""max_dropout"": 0.3056784287777716, ""max_units"": 218, ""momentum"": 0.5250458220927774, ""num_layers"": 4, ""weight_decay"": 0.020433086256639903}",{}
2026-04-19T16:41:56.775454,catsplus,lcbench,168329,2,31,52.348567962646484,"{""OpenML_task_id"": ""168331"", ""batch_size"": 22, ""epoch"": 26, ""learning_rate"": 0.021618192679472806, ""max_dropout"": 0.9878477101697498, ""max_units"": 122, ""momentum"": 0.8802850176386846, ""num_layers"": 4, ""weight_decay"": 0.017364545336406575}",{}
2026-04-19T16:41:56.775606,catsplus,lcbench,168329,2,32,48.72015380859375,"{""OpenML_task_id"": ""189905"", ""batch_size"": 169, ""epoch"": 20, ""learning_rate"": 0.09726267999996889, ""max_dropout"": 0.36063361485583334, ""max_units"": 187, ""momentum"": 0.3685035100352718, ""num_layers"": 2, ""weight_decay"": 0.02138780527312129}",{}
2026-04-19T16:41:56.775748,catsplus,lcbench,168329,2,33,16.915069580078125,"{""OpenML_task_id"": ""167104"", ""batch_size"": 110, ""epoch"": 5, ""learning_rate"": 0.023076650213181667, ""max_dropout"": 0.37125394664802125, ""max_units"": 90, ""momentum"": 0.4151851450263184, ""num_layers"": 5, ""weight_decay"": 0.06895398790294643}",{}
2026-04-19T16:41:56.775905,catsplus,lcbench,168329,2,34,186.0824737548828,"{""OpenML_task_id"": ""168908"", ""batch_size"": 112, ""epoch"": 37, ""learning_rate"": 0.0002412101516211655, ""max_dropout"": 0.08791740612352994, ""max_units"": 154, ""momentum"": 0.19614109910309552, ""num_layers"": 5, ""weight_decay"": 0.004510939726013683}",{}
2026-04-19T16:41:56.776060,catsplus,lcbench,168329,2,35,125.95569610595703,"{""OpenML_task_id"": ""168330"", ""batch_size"": 26, ""epoch"": 33, ""learning_rate"": 0.0015745915280921895, ""max_dropout"": 0.40012863894393713, ""max_units"": 101, ""momentum"": 0.5004949310609244, ""num_layers"": 3, ""weight_decay"": 0.07865135426715894}",{}
2026-04-19T16:41:56.776198,catsplus,lcbench,168329,2,36,168.38803100585938,"{""OpenML_task_id"": ""167185"", ""batch_size"": 24, ""epoch"": 40, ""learning_rate"": 0.0009787672195632816, ""max_dropout"": 0.584807438361226, ""max_units"": 180, ""momentum"": 0.26605968884359366, ""num_layers"": 3, ""weight_decay"": 0.06233694530935083}",{}
